Vecindario,Vecindario Latitude,Vecindario Longitude,Lugar,Lugar Latitude,Lugar Longitude,Categoria Lugar
Civic Center,37.8006,-122.265,Shan Dong,37.8005,-122.27,Chinese Restaurant
Civic Center,37.8006,-122.265,The Lake Chalet Seafood Bar & Grill,37.8022,-122.262,Seafood Restaurant
Civic Center,37.8006,-122.265,Nature's Best Foods,37.8027,-122.265,Grocery Store
Civic Center,37.8006,-122.265,The Kon-Tiki,37.8033,-122.269,Tiki Bar
Civic Center,37.8006,-122.265,Kamdesh Afghan Kabob House,37.8033,-122.268,Afghan Restaurant
Civic Center,37.8006,-122.265,Sweetheart Cafe,37.7995,-122.27,Candy Store
Civic Center,37.8006,-122.265,Tastee Steam Kitchen,37.801,-122.27,Hotpot Restaurant
Civic Center,37.8006,-122.265,Shooting Star Cafe,37.801,-122.27,Chinese Restaurant
Civic Center,37.8006,-122.265,Aria,37.8031,-122.268,Afghan Restaurant
Civic Center,37.8006,-122.265,Laney College,37.7969,-122.264,Community College
Civic Center,37.8006,-122.265,Lane-e Kefa Coffee,37.7969,-122.265,Coffee Shop
Civic Center,37.8006,-122.265,Malonga Casquelourd Center,37.803,-122.266,Music Venue
Civic Center,37.8006,-122.265,Halftime Sports Bar,37.8032,-122.268,Sports Bar
Civic Center,37.8006,-122.265,Alice Street Bakery Cafe,37.7996,-122.268,Bakery
Civic Center,37.8006,-122.265,Maly's Donut & Burger,37.8017,-122.264,Donut Shop
Civic Center,37.8006,-122.265,T4 Tea For You,37.8011,-122.27,Bubble Tea Shop
Civic Center,37.8006,-122.265,Classic Guilin Rice Noodle 合味桂林米粉,37.7998,-122.269,Asian Restaurant
Civic Center,37.8006,-122.265,Bacon Bacon Truck,37.7986,-122.264,Food Truck
Civic Center,37.8006,-122.265,Good News Cafe,37.8042,-122.263,Café
Civic Center,37.8006,-122.265,Mo'Joe Cafe,37.8017,-122.264,Café
Civic Center,37.8006,-122.265,Off the Grid: Emeryville Public Market,37.7979,-122.263,Food Truck
